City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Miranda De Ebro,ES,2021-11-28 22:01:25,42.6865,-2.947,44.94,97,100,7.02
67,Vestmannaeyjar,IS,2021-11-28 22:01:26,63.4427,-20.2734,43.83,95,100,3.96
68,Huarmey,PE,2021-11-28 22:01:26,-10.0681,-78.1522,69.94,78,94,9.8
69,Kodiak,US,2021-11-28 22:01:26,57.79,-152.4072,12.78,63,3,6.13
70,Yellowknife,CA,2021-11-28 22:00:20,62.456,-114.3525,16.9,95,100,12.03
71,Kangaatsiaq,GL,2021-11-28 22:01:27,68.3065,-53.4641,20.75,63,100,22.17
72,Mount Gambier,AU,2021-11-28 22:01:27,-37.8333,140.7667,64.18,50,0,6.17
73,Sitka,US,2021-11-28 22:01:28,57.0531,-135.33,34.34,60,100,17.49
74,Rabo De Peixe,PT,2021-11-28 22:01:28,37.8,-25.5833,58.51,77,75,8.05
75,Lavrentiya,RU,2021-11-28 22:01:28,65.5833,-171.0,-13.02,91,3,6.93
76,Fortuna,US,2021-11-28 22:01:29,40.5982,-124.1573,53.94,100,90,0.0
77,Panguna,PG,2021-11-28 22:01:30,-6.3164,155.4848,76.73,75,100,2.55
78,Severo-Kurilsk,RU,2021-11-28 22:01:30,50.6789,156.125,33.53,87,100,18.48
79,Bathsheba,BB,2021-11-28 22:01:31,13.2167,-59.5167,80.01,79,38,13.49
80,Sangar,RU,2021-11-28 22:01:33,63.9242,127.4739,-8.5,99,100,1.25
81,Point Pleasant,US,2021-11-28 22:00:08,40.0832,-74.0682,41.34,59,9,7.18
82,Necochea,AR,2021-11-28 22:00:14,-38.5473,-58.7368,61.14,95,100,12.82
83,Pocri,PA,2021-11-28 22:01:34,8.2667,-80.55,81.36,77,48,8.95
84,Butaritari,KI,2021-11-28 22:01:35,3.0707,172.7902,81.63,78,90,13.06
85,Kargasok,RU,2021-11-28 22:01:35,59.0556,80.8572,25.39,95,100,8.16
86,Lyubech,UA,2021-11-28 22:01:36,51.7026,30.6569,43.81,94,100,10.92
87,Nikolskoye,RU,2021-11-28 22:01:36,59.7035,30.7861,22.89,93,91,5.97
88,Vila,PT,2021-11-28 22:01:36,42.0304,-8.1588,43.68,98,100,5.7
89,Nara,JP,2021-11-28 22:01:37,34.6851,135.8049,40.28,62,29,2.71
90,Kuvandyk,RU,2021-11-28 22:01:37,51.4781,57.3552,15.69,90,100,2.77
91,Vaini,TO,2021-11-28 22:01:38,-21.2,-175.2,77.92,60,2,18.05
92,Faanui,PF,2021-11-28 22:01:38,-16.4833,-151.75,81.55,73,97,10.49
93,Ust-Nera,RU,2021-11-28 22:01:38,64.5667,143.2,-12.57,99,100,3.36
94,Cape Town,ZA,2021-11-28 22:01:39,-33.9258,18.4232,64.35,78,80,2.8
95,Vysotsk,RU,2021-11-28 22:02:39,60.6288,28.5705,20.52,72,99,11.88
96,Wanxian,CN,2021-11-28 22:02:39,30.8039,108.3897,57.04,67,100,2.53
97,Autun,FR,2021-11-28 22:02:40,46.95,4.3,34.5,98,100,6.33
98,Airai,TL,2021-11-28 22:02:40,-8.9266,125.4092,62.37,85,100,1.3
99,Lebu,CL,2021-11-28 22:02:41,-37.6167,-73.65,55.53,73,5,19.26
100,Ambon,ID,2021-11-28 22:02:41,-3.6954,128.1814,82.02,74,86,2.73
101,Gradsko,MK,2021-11-28 22:02:42,41.5775,21.9428,47.34,93,98,2.46
102,Cairns,AU,2021-11-28 22:00:03,-16.9167,145.7667,76.95,88,75,9.22
103,Gazojak,TM,2021-11-28 22:02:43,41.1875,61.4036,41.81,45,2,6.6
104,Deputatskiy,RU,2021-11-28 22:02:43,69.3,139.9,-12.53,96,100,5.06
105,Puerto Del Rosario,ES,2021-11-28 22:02:43,28.5004,-13.8627,65.95,63,20,23.02
106,Nuuk,GL,2021-11-28 22:00:08,64.1835,-51.7216,37.92,93,100,36.48
107,Ambovombe,MG,2021-11-28 22:02:44,-25.1667,46.0833,65.07,67,8,17.07
108,San Patricio,US,2021-11-28 22:02:44,28.017,-97.5169,66.61,63,100,10.13
109,Padang,ID,2021-11-28 22:02:45,-0.9492,100.3543,75.7,88,96,2.46
110,Roma,US,2021-11-28 22:02:45,43.2128,-75.4557,33.66,86,90,5.75
111,Murgab,TM,2021-11-28 22:02:45,37.4966,61.9714,50.09,49,7,8.93
112,Hermanus,ZA,2021-11-28 22:02:46,-34.4187,19.2345,63.07,85,81,7.49
113,Vostok,RU,2021-11-28 22:02:47,46.4856,135.8833,19.53,91,97,5.59
114,The Valley,AI,2021-11-28 22:02:47,18.217,-63.0578,81.05,72,14,12.5
115,Kamenka,RU,2021-11-28 22:02:48,51.3223,42.7678,41.14,95,100,8.25
116,Talnakh,RU,2021-11-28 22:02:48,69.4865,88.3972,-15.83,98,77,2.8
117,Sucila,MX,2021-11-28 22:02:49,21.15,-88.3167,82.29,51,58,8.75
118,Bengkulu,ID,2021-11-28 22:02:49,-3.8004,102.2655,75.97,85,100,5.08
119,Banga,PH,2021-11-28 22:02:49,6.4239,124.7783,73.83,91,94,1.86
120,Taoudenni,ML,2021-11-28 22:02:50,22.6783,-3.9836,67.66,22,2,10.0
121,Victoria,HK,2021-11-28 22:02:15,22.2855,114.1577,67.98,64,26,6.4
122,Sola,VU,2021-11-28 22:02:51,-13.8833,167.55,81.27,83,75,0.0
123,Saskylakh,RU,2021-11-28 22:02:51,71.9167,114.0833,-20.83,100,99,4.34
124,Bonthe,SL,2021-11-28 22:02:51,7.5264,-12.505,79.95,80,7,7.34
125,Serebryanyy Bor,RU,2021-11-28 22:02:52,56.8,124.8,-26.03,100,100,0.87
126,Waipawa,NZ,2021-11-28 22:02:52,-41.4122,175.5153,63.23,66,71,5.79
127,Oktyabrskiy,RU,2021-11-28 22:02:52,54.4815,53.471,29.17,93,100,11.81
128,La Paz,BO,2021-11-28 22:00:03,-16.5,-68.15,56.57,58,100,5.32
129,Hithadhoo,MV,2021-11-28 22:02:53,-0.6,73.0833,81.27,76,66,17.36
130,Poum,NC,2021-11-28 22:02:53,-20.2333,164.0167,80.38,74,34,3.67
131,Waitati,NZ,2021-11-28 22:02:54,-45.75,170.5667,65.73,51,77,3.11
132,Belaya Gora,RU,2021-11-28 22:02:54,68.5333,146.4167,-20.24,99,100,1.92
133,Ilulissat,GL,2021-11-28 22:02:54,69.2167,-51.1,17.62,62,100,2.3
134,Matara,LK,2021-11-28 22:02:55,5.9485,80.5353,75.11,90,100,3.65
135,Tarko-Sale,RU,2021-11-28 22:02:55,64.9225,77.785,-17.18,100,88,4.63
136,Gorgan,IR,2021-11-28 22:02:56,36.8387,54.4348,59.25,38,3,3.18
137,Anadyr,RU,2021-11-28 22:02:56,64.75,177.4833,1.9,85,90,4.47
138,Dikson,RU,2021-11-28 22:03:57,73.5069,80.5464,-15.52,100,100,12.21
139,Bandarbeyla,SO,2021-11-28 22:03:57,9.4942,50.8122,77.32,76,52,18.48
140,Hay River,CA,2021-11-28 22:03:57,60.8156,-115.7999,6.76,78,90,11.5
141,Constitucion,CL,2021-11-28 22:03:58,-35.3333,-72.4167,62.06,59,7,19.6
142,Coahuayana,MX,2021-11-28 22:03:58,18.7333,-103.6833,92.68,48,0,6.51
143,Bredasdorp,ZA,2021-11-28 22:03:59,-34.5322,20.0403,62.4,82,34,4.74
144,Thompson,CA,2021-11-28 22:03:59,55.7435,-97.8558,3.22,94,63,1.59
145,Bilibino,RU,2021-11-28 22:03:59,68.0546,166.4372,0.45,98,98,2.77
146,Sioux Lookout,CA,2021-11-28 22:04:00,50.1001,-91.917,15.39,94,90,1.77
147,Chapais,CA,2021-11-28 22:04:00,49.7834,-74.8492,9.64,98,99,3.22
148,Leningradskiy,RU,2021-11-28 22:04:00,69.3833,178.4167,-20.9,94,90,11.63
149,Kaohsiung,TW,2021-11-28 21:59:48,22.6163,120.3133,71.55,83,75,5.75
150,Fakel,RU,2021-11-28 22:04:01,57.6325,53.0252,31.37,97,100,10.65
151,Kanniyakumari,IN,2021-11-28 22:04:01,8.0833,77.5667,77.92,86,99,15.01
152,Juan Lacaze,UY,2021-11-28 22:04:01,-34.4342,-57.4381,65.84,90,100,9.73
153,Vila Velha,BR,2021-11-28 22:04:02,-20.3297,-40.2925,78.75,89,75,6.91
154,Bethel,US,2021-11-28 22:04:02,41.3712,-73.414,37.98,75,90,0.0
155,Srednekolymsk,RU,2021-11-28 22:04:03,67.45,153.6833,-32.19,98,100,7.27
156,Camacari,BR,2021-11-28 22:04:03,-12.6975,-38.3242,76.77,95,100,7.2
157,Chokurdakh,RU,2021-11-28 22:04:03,70.6333,147.9167,-39.08,100,82,1.01
158,Besancon,FR,2021-11-28 22:02:52,47.2488,6.0182,36.05,100,99,2.71
159,Gornyatskiy,RU,2021-11-28 22:04:04,48.2915,40.9575,47.16,86,99,10.04
160,Qaanaaq,GL,2021-11-28 22:04:04,77.484,-69.3632,-8.18,75,22,8.46
161,Arcachon,FR,2021-11-28 22:04:05,44.5875,-1.0519,41.32,93,75,3.44
162,Straumen,NO,2021-11-28 22:04:05,63.8709,11.2999,10.35,88,57,3.49
163,Tadine,NC,2021-11-28 22:04:05,-21.55,167.8833,80.02,79,50,12.15
164,Lake Charles,US,2021-11-28 22:00:48,30.2131,-93.2044,60.82,82,75,11.5
165,Atar,MR,2021-11-28 22:04:06,20.5169,-13.0499,64.42,37,4,10.94
166,Champerico,GT,2021-11-28 22:04:06,14.3,-91.9167,90.14,70,57,6.33
167,Porto Novo,BJ,2021-11-28 22:04:06,6.4965,2.6036,80.98,80,77,7.49
168,Rafai,CF,2021-11-28 22:04:07,4.95,23.9167,78.3,45,97,3.15
169,Behshahr,IR,2021-11-28 22:04:07,36.6923,53.5526,56.3,49,10,3.56
170,Richards Bay,ZA,2021-11-28 22:04:08,-28.783,32.0377,71.82,76,4,9.91
171,Lasa,IT,2021-11-28 22:04:08,46.6166,10.7002,30.11,94,100,6.73
172,Mehamn,NO,2021-11-28 22:04:08,71.0357,27.8492,14.18,92,37,16.33
173,Bemidji,US,2021-11-28 22:04:09,47.4736,-94.8803,30.49,51,1,0.0
174,Pisco,PE,2021-11-28 22:04:09,-13.7,-76.2167,68.05,77,0,21.85
175,Esil,KZ,2021-11-28 22:04:10,51.9556,66.4042,12.11,78,100,8.37
176,Jacksonville,US,2021-11-28 22:02:19,30.3322,-81.6556,60.91,50,90,6.91
177,Maceio,BR,2021-11-28 22:01:04,-9.6658,-35.7353,81.84,78,40,6.91
178,Letlhakane,BW,2021-11-28 22:04:10,-21.4167,25.5833,78.91,36,71,5.21
179,Barpeta,IN,2021-11-28 22:04:11,26.3167,91.0,60.28,74,55,5.59
180,Nalut,LY,2021-11-28 22:04:11,30.3333,10.85,53.13,62,5,16.42
181,Abbeville,FR,2021-11-28 22:04:11,50.1,1.8333,37.36,84,69,10.0
182,Mahebourg,MU,2021-11-28 22:04:12,-20.4081,57.7,73.69,83,40,3.44
183,Nosy Varika,MG,2021-11-28 22:04:12,-20.5833,48.5333,69.51,86,99,5.35
184,Havre-Saint-Pierre,CA,2021-11-28 22:04:03,50.2334,-63.5986,34.83,76,100,23.73
185,Pizarro,CO,2021-11-28 22:05:13,4.9533,-77.366,79.59,84,54,7.94
186,Half Moon Bay,US,2021-11-28 22:05:13,37.4636,-122.4286,69.98,53,1,5.75
187,Anchorage,US,2021-11-28 22:04:57,61.2181,-149.9003,1.44,78,90,4.61
188,Hirara,JP,2021-11-28 22:05:14,24.8,125.2833,68.27,94,75,12.66
189,Zyryanovsk,KZ,2021-11-28 22:05:14,49.7386,84.2719,-5.51,98,13,1.68
190,Ancud,CL,2021-11-28 22:05:14,-41.8697,-73.8203,58.53,72,69,8.97
191,Rawson,AR,2021-11-28 22:00:53,-43.3002,-65.1023,76.59,23,51,14.99
192,Skjervoy,NO,2021-11-28 22:05:15,70.0311,20.9714,28.2,63,95,15.32
193,Kieta,PG,2021-11-28 22:00:17,-6.2167,155.6333,82.83,73,100,2.15
194,Balakhta,RU,2021-11-28 22:05:15,55.38,91.6,13.87,93,100,4.83
195,Georgetown,MY,2021-11-28 22:00:17,5.4112,100.3354,76.93,94,20,0.0
196,Acapulco,MX,2021-11-28 22:03:35,16.8634,-99.8901,85.82,66,75,5.75
197,Douglas,US,2021-11-28 22:02:42,41.3,-96.167,49.87,46,1,6.91
198,Santiago Del Estero,AR,2021-11-28 22:05:16,-27.7951,-64.2615,86.4,22,0,10.33
199,Sao Joao Da Barra,BR,2021-11-28 22:05:17,-21.6403,-41.0511,73.69,89,95,1.05
200,Huejuquilla El Alto,MX,2021-11-28 22:05:17,22.6,-103.8667,73.0,34,70,4.5
201,Luanda,AO,2021-11-28 22:02:25,-8.8368,13.2343,78.8,73,75,5.75
202,Klaksvik,FO,2021-11-28 22:05:18,62.2266,-6.589,34.72,63,100,7.96
203,Makakilo City,US,2021-11-28 22:05:18,21.3469,-158.0858,82.72,54,20,10.36
204,College,US,2021-11-28 22:05:18,64.8569,-147.8028,-18.74,69,75,0.0
205,Upernavik,GL,2021-11-28 22:05:19,72.7868,-56.1549,-9.2,78,10,9.82
206,Tulagi,SB,2021-11-28 22:05:19,-9.0996,160.1476,82.85,72,91,6.42
207,Buala,SB,2021-11-28 22:05:19,-8.145,159.5921,83.79,74,81,7.07
208,Lompoc,US,2021-11-28 22:05:20,34.6391,-120.4579,82.54,33,1,10.36
209,Joshimath,IN,2021-11-28 22:05:20,30.5667,79.5667,45.86,23,0,7.58
210,Nicoya,CR,2021-11-28 22:01:26,10.1483,-85.452,80.2,76,55,8.41
211,Kuytun,RU,2021-11-28 22:05:21,54.3419,101.5036,19.53,87,100,10.04
212,Ploemeur,FR,2021-11-28 22:05:21,47.7333,-3.4333,41.59,100,90,4.61
213,La Primavera,CO,2021-11-28 22:05:21,5.4906,-70.4092,82.72,70,95,5.46
214,Hobro,DK,2021-11-28 22:05:22,56.6431,9.7903,37.63,82,100,15.3
215,Ballina,AU,2021-11-28 22:05:22,-28.8667,153.5667,71.78,82,99,9.06
216,Zubtsov,RU,2021-11-28 22:05:22,56.1753,34.5894,32.58,98,100,4.25
217,Kavieng,PG,2021-11-28 22:05:23,-2.5744,150.7967,82.4,77,58,7.92
218,Kuching,MY,2021-11-28 22:05:23,1.55,110.3333,73.62,100,40,2.3
219,Wajima,JP,2021-11-28 22:05:23,37.4,136.9,46.06,64,100,6.2
220,Malinovskiy,RU,2021-11-28 22:05:24,61.1953,62.8397,25.47,95,100,9.04
221,Iqaluit,CA,2021-11-28 22:05:24,63.7506,-68.5145,21.15,76,100,11.21
222,Port Lincoln,AU,2021-11-28 22:05:25,-34.7333,135.8667,63.54,64,1,7.07
