City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Adiake,5.2863,-3.304,81.99,84,94,5.46,CI,2021-12-05 01:58:11,light rain
60,Cidreira,-30.1811,-50.2056,70.29,82,100,18.79,BR,2021-12-05 01:58:12,overcast clouds
61,Margate,51.3813,1.3862,40.96,85,100,4.0,GB,2021-12-05 01:58:12,light rain
62,Loanda,-8.8368,13.2343,77.11,84,100,6.8,AO,2021-12-05 01:54:36,light rain
63,Port Lincoln,-34.7333,135.8667,64.0,61,100,9.13,AU,2021-12-05 01:58:13,overcast clouds
64,Chuy,-33.6971,-53.4616,63.64,93,100,7.9,UY,2021-12-05 01:58:13,overcast clouds
65,Homer,59.6425,-151.5483,19.78,89,97,3.53,US,2021-12-05 01:58:14,overcast clouds
66,Khatanga,71.9667,102.5,-22.77,97,100,10.38,RU,2021-12-05 01:58:14,overcast clouds
67,Kodiak,57.79,-152.4072,25.7,83,98,4.7,US,2021-12-05 01:58:14,overcast clouds
68,Hermanus,-34.4187,19.2345,60.91,92,100,20.24,ZA,2021-12-05 01:58:15,moderate rain
69,Upernavik,72.7868,-56.1549,23.86,69,100,4.63,GL,2021-12-05 01:58:15,overcast clouds
70,Adre,13.4667,22.2,68.83,27,5,9.04,TD,2021-12-05 01:58:15,clear sky
71,Nikolskoye,59.7035,30.7861,10.29,93,95,6.08,RU,2021-12-05 01:58:16,overcast clouds
72,Sao Joao Da Barra,-21.6403,-41.0511,72.41,81,0,3.98,BR,2021-12-05 01:58:16,clear sky
73,Starogard Gdanski,53.964,18.5264,33.12,94,100,3.51,PL,2021-12-05 01:58:17,overcast clouds
74,Puertollano,38.6871,-4.1073,47.19,92,52,7.87,ES,2021-12-05 01:58:17,broken clouds
75,Torbay,47.6666,-52.7314,30.58,55,1,24.16,CA,2021-12-05 01:58:17,clear sky
76,Faanui,-16.4833,-151.75,81.45,63,51,13.87,PF,2021-12-05 01:58:18,broken clouds
77,Fort Nelson,58.8053,-122.7002,-17.01,83,20,2.3,CA,2021-12-05 01:58:18,few clouds
78,Dunedin,-45.8742,170.5036,54.81,66,100,3.0,NZ,2021-12-05 01:58:19,light rain
79,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,40,40,15.66,RU,2021-12-05 01:58:19,scattered clouds
80,Mar Del Plata,-38.0023,-57.5575,61.09,85,75,1.99,AR,2021-12-05 01:57:28,light rain
81,Lazaro Cardenas,17.9583,-102.2,77.74,78,87,4.23,MX,2021-12-05 01:58:20,overcast clouds
82,East London,-33.0153,27.9116,68.77,94,100,20.07,ZA,2021-12-05 01:58:20,moderate rain
83,Kautokeino,69.0125,23.0412,-12.89,100,100,5.5,NO,2021-12-05 01:58:20,overcast clouds
84,Gweta,-20.1833,25.2333,81.46,48,99,5.55,BW,2021-12-05 01:58:21,overcast clouds
85,San Cristobal,7.7669,-72.225,73.58,83,92,2.08,VE,2021-12-05 01:58:21,overcast clouds
86,Castro,-24.7911,-50.0119,59.14,97,52,5.82,BR,2021-12-05 01:58:21,broken clouds
87,Tiksi,71.6872,128.8694,-19.05,92,100,0.29,RU,2021-12-05 01:58:22,overcast clouds
88,Waitati,-45.75,170.5667,54.81,66,100,10.22,NZ,2021-12-05 01:59:22,light rain
89,Vicuna,-30.0319,-70.7081,51.53,44,26,1.16,CL,2021-12-05 01:55:41,scattered clouds
90,Severo-Kurilsk,50.6789,156.125,32.2,63,83,26.19,RU,2021-12-05 01:59:22,broken clouds
91,Ribeira Grande,38.5167,-28.7,63.93,75,50,12.3,PT,2021-12-05 01:59:23,scattered clouds
92,Gat,31.61,34.7642,60.91,16,99,6.73,IL,2021-12-05 01:59:24,overcast clouds
93,Channel-Port Aux Basques,47.5702,-59.1367,33.06,54,99,23.29,CA,2021-12-05 01:59:24,overcast clouds
94,Ouadda,8.0777,22.4007,71.76,36,57,4.9,CF,2021-12-05 01:59:24,broken clouds
95,Papar,5.7333,115.9333,86.0,78,41,4.68,MY,2021-12-05 01:59:25,scattered clouds
96,Rafina,38.0181,24.006,55.38,92,75,2.3,GR,2021-12-05 01:59:25,broken clouds
97,Leningradskiy,69.3833,178.4167,-21.26,92,51,4.47,RU,2021-12-05 01:59:26,broken clouds
98,Teluk Nibung,3.001,99.8164,79.48,85,100,9.6,ID,2021-12-05 01:59:26,overcast clouds
99,Takoradi,4.8845,-1.7554,79.93,80,100,5.37,GH,2021-12-05 01:59:27,overcast clouds
100,Yulara,-25.2406,130.9889,71.44,46,75,29.93,AU,2021-12-05 01:59:27,light rain
101,Airai,-8.9266,125.4092,72.48,67,100,1.52,TL,2021-12-05 01:59:28,overcast clouds
102,Sarangarh,21.6,83.0833,66.78,70,100,4.14,IN,2021-12-05 01:59:28,overcast clouds
103,Kahului,20.8947,-156.47,72.66,88,100,13.89,US,2021-12-05 01:59:29,overcast clouds
104,Cockburn Town,21.4612,-71.1419,80.67,72,14,22.17,TC,2021-12-05 01:57:00,few clouds
105,Kapaa,22.0752,-159.319,64.49,85,100,6.62,US,2021-12-05 01:59:29,moderate rain
